,pmid,secid,sentid,section,sentence_text,pred_consort_relevant
25,31733917,3,8,Results,"The IG, compared to WLC group, showed significant baseline-to-follow-up reductions in anxiety and depressive symptoms, as well as in behavioral difficulties and psychosocial impairment in various life domains.",[]
26,31733917,4,9,Limitations,The small sample size and the reliance on parental reports were the major limitations of this study.,[]
27,31733917,5,10,Conclusions,"This study provides initial evidence of the long-term effects of SSL, suggesting that it is a promising indicated preventive intervention for young children with emotional problems.",[]
28,10+1111_j+1469-7610+2010+02209+x,0,0,Title,Evaluation of a classroom-based psychosocial intervention in conflict-affected Nepal: a cluster randomized controlled trial,[]
29,10+1111_j+1469-7610+2010+02209+x,1,1,Background,"In situations of ongoing violence, childhood psychosocial and mental health problems require care.",[]
30,10+1111_j+1469-7610+2010+02209+x,1,2,Background,"However, resources and evidence for adequate interventions are scarce for children in low- and middle-income countries.",[]
31,10+1111_j+1469-7610+2010+02209+x,1,3,Background,"This study evaluated a school-based psychosocial intervention in conflict-affected, rural Nepal.",[]
32,10+1111_j+1469-7610+2010+02209+x,2,4,Methods,"A cluster randomized controlled trial was used to evaluate changes on a range of indicators, including psychiatric symptoms (depression, anxiety, posttraumatic stress disorder), psychological difficulties, resilience indicators (hope, prosocial behavior) and function impairment.","['D06a', 'D06b']"
33,10+1111_j+1469-7610+2010+02209+x,2,5,Methods,"Children (n = 325) (mean age = 12.7, SD = 1.04, range 11–14 years) with elevated psychosocial distress were allocated to a treatment or waitlist group.","['D04b', 'D04a', 'D03a']"
34,10+1111_j+1469-7610+2010+02209+x,3,6,Results,"Comparisons of crude change scores showed significant between-group differences on several outcome indicators, with moderate effect sizes (Cohen d = .41 to .58).",[]
35,10+1111_j+1469-7610+2010+02209+x,3,7,Results,"After correcting for nested variance within schools, no evidence for treatment effects was found on any outcome variable.",['D09']
36,10+1111_j+1469-7610+2010+02209+x,3,8,Results,"Additional analyses showed gender effects for treatment on prosocial behavior (mean change difference: 2.70; 95% CI, .97 to 4.44), psychological difficulties (−2.19; 95% CI, −3.82 to −.56), and aggression (−4.42; 95% CI, −6.16 to −2.67).",[]
37,10+1111_j+1469-7610+2010+02209+x,3,9,Results,"An age effect for treatment was found for hope (.90; 95% CI, −1.54 to −.26).",[]
38,10+1111_j+1469-7610+2010+02209+x,4,10,Conclusions,A school-based psychosocial intervention demonstrated moderate short-term beneficial effects for improving social-behavioral and resilience indicators among subgroups of children exposed to armed conflict.,[]
39,10+1111_j+1469-7610+2010+02209+x,4,11,Conclusions,"The intervention reduced psychological difficulties and aggression among boys, increased prosocial behavior among girls, and increased hope for older children.",[]
40,10+1111_j+1469-7610+2010+02209+x,4,12,Conclusions,The intervention did not result in reduction of psychiatric symptoms.,[]
41,30661560,0,0,Title,Long-Term Outcome of a Cluster-Randomized Universal Prevention Trial Targeting Anxiety and Depression in School Children.,[]
42,26684478,0,0,Title,School-Based Mindfulness Instruction: An RCT.,[]
43,26684478,1,1,Background and objective,"Many urban youth experience significant and unremitting negative stressors, including those associated with community violence, multigenerational poverty, failing educational systems, substance use, limited avenues for success, health risks, and trauma.",[]
44,26684478,1,2,Background and objective,"Mindfulness instruction improves psychological functioning in a variety of adult populations; research on mindfulness for youth is promising, but has been conducted in limited populations.",[]
45,26684478,1,3,Background and objective,"Informed by implementation science, we evaluated an adapted mindfulness-based stress reduction (MBSR) program to ameliorate the negative effects of stress and trauma among low-income, minority, middle school public school students.",[]
46,26684478,2,4,Methods,Participants were students at two Baltimore City Public Schools who were randomly assigned by grade to receive adapted MBSR or health education (Healthy Topics [HT]) programs.,['D03b']
47,26684478,2,5,Methods,Self-report survey data were collected at baseline and postprogram.,[]
48,26684478,2,6,Methods,"Deidentified data were analyzed in the aggregate, comparing MBSR and HT classes, by using regression modeling.",['D09']
49,26684478,3,7,Results,Three hundred fifth- to eighth-grade students (mean 12.0 years) were in MBSR and HT classes and provided survey data.,[]
50,26684478,3,8,Results,"Participants were 50.7% female, 99.7% African American, and 99% eligible for free lunch.",[]
51,26684478,3,9,Results,The groups were comparable at baseline.,[]
52,26684478,3,10,Results,"Postprogram, MBSR students had significantly lower levels of somatization, depression, negative affect, negative coping, rumination, self-hostility, and posttraumatic symptom severity (all Ps < .05) than HT.",[]
53,26684478,4,11,Conclusions,These findings support the hypothesis that mindfulness instruction improves psychological functioning and may ameliorate the negative effects of stress and reduce trauma-associated symptoms among vulnerable urban middle school students.,[]
54,26684478,4,12,Conclusions,"Additional research is needed to explore psychological, social, and behavioral outcomes, and mechanisms of mindfulness instruction.",[]
55,26298674,0,0,Title,A longitudinal evaluation of the Resilient Families randomized trial to prevent early adolescent depressive symptoms.,[]
56,31920787,0,0,Title,Impact of a Mindfulness-Based Intervention on Basic Psychological Need Satisfaction and Internalized Symptoms in Elementary School Students With Severe Learning Disabilities: Results From a Randomized Cluster Trial.,[]
57,31920787,1,1,Background,"Mindfulness is hypothesized to lead to more realistic appraisals of the three basic psychological needs, which leads people to benefit from high levels of need satisfaction or helps them make the appropriate changes to improve need satisfaction.",[]
58,31920787,1,2,Background,Mindfulness-based interventions (MBIs) have also shown promise to foster greater basic psychological need satisfaction in students with learning disabilities (LDs).,[]
59,31920787,2,3,Objective,The goal of the present study was to evaluate the impact of a MBI on the satisfaction of the basic psychological needs and on internalized symptoms in students with severe LDs.,[]
60,31920787,2,4,Objective,"A randomized cluster trial was implemented to compare the progression of need satisfaction, anxiety, and depression symptoms in participants pre- to post-intervention and at follow-up.",[]
61,31920787,3,5,Method,Elementary school students with severe LDs ( N = 23) in two special education classrooms took part in this study and were randomly attributed to either an experimental or an active control group.,['D02']
62,31920787,4,6,Results,Mixed ANOVAs first showed that the experimental condition did not moderate change over time such that similar effects were observed in the experimental and active control groups.,['D09']
63,31920787,4,7,Results,"Looking at main effects of time on participants' scores of autonomy, competence, and relatedness across time, we found a significant within-person effect for the competence need ( p = 0.02).",['D09']
64,31920787,4,8,Results,"Post hoc analyses showed that for both groups, competence scores were significantly higher at post-intervention ( p = 0.03) and at follow-up ( p = 0.04), when compared to pre-intervention scores.",[]
65,31920787,4,9,Results,A significant main effect was also found for anxiety levels over time ( p = 0.008).,[]
66,31920787,4,10,Results,"Post hoc analyses showed that for both groups, scores were significantly lower at post-intervention ( p = 0.01) and at follow-up ( p = 0.006), when compared to pre-intervention scores.",[]
67,31920787,5,11,Conclusion,"Although the MBI seemed useful in increasing the basic psychological need of competence and decreasing anxiety symptoms in students with severe LDs, it was not more useful than the active control intervention that was used in this project.",[]
68,31920787,5,12,Conclusion,Future studies should verify that MBIs have an added value compared to other types of interventions that can be more easily implemented in school-based settings.,[]
69,32680417,0,0,Title,Mitigating depression among orphaned and vulnerable adolescents: a randomized controlled trial of interpersonal psychotherapy for groups in South Africa.,[]
70,32680417,1,1,Background,"Children and adolescents affected by HIV are at elevated risk of depression, yet research on related interventions in this population is scarce in sub-Saharan Africa.",[]
71,32680417,1,2,Background,This study sought to examine the effects of interpersonal psychotherapy for groups (IPTG) on depressive symptomology among orphaned and vulnerable adolescents in South Africa.,[]
72,32680417,2,3,Method,A cluster randomized controlled trial wherein adolescents ages 14-17 enrolled in community-based programming for HIV-affected and vulnerable families were randomly assigned by geographic cluster to participate in a 16-session IPTG intervention or the standard of care (n=489).,['D02']
73,32680417,2,4,Method,Baseline and postintervention surveys conducted with enrollees included standardized depression screening.,[]
74,32680417,2,5,Method,"Utilizing an intent-to-treat design, mixed effects models were performed to examine treatment effects for all participants and potential moderators including gender and baseline depression level (Clinical Trials registration: ClinicalTrials.gov NCT02386878).",['D09']
75,32680417,3,6,Results,"While 23% of adolescents in the intervention group did not attend any IPTG sessions, average attendance was 12 out of 16 possible sessions among participants.",[]
76,32680417,3,7,Results,The intervention was not associated with changes in depression symptomology.,[]
77,32680417,4,8,Conclusions,Results underscore the importance of mitigating participation barriers prior to intervention roll-out and the need for increased evidence for psychological health interventions to mitigate depression among orphaned and vulnerable adolescents.,[]
78,32680417,4,9,Conclusions,This intervention and the study selectively targeted at-risk adolescents versus using diagnostic mental health criteria for enrollment; more research is needed to identify the potential benefits and disadvantages of these approaches.,[]
79,29599729,0,0,Title,Efficacy of the Aussie Optimism Program: Promoting Pro-social Behavior and Preventing Suicidality in Primary School Students.,[]
80,29599729,0,1,Title,A Randomised-Controlled Trial.,['D02']
81,10+1016_j+brat+2013+09+005,0,0,Title,Reducing depression in 9–10 year old children in low SES schools: A longitudinal universal randomized controlled trial,[]
82,10+1016_j+brat+2013+09+005,1,1,The Aussie Optimism,Positive Thinking Skills Program (AOP-PTS) is an innovative curriculum-based mental health promotion program based on cognitive and behavioural strategies.,[]
83,10+1016_j+brat+2013+09+005,1,2,The Aussie Optimism,The program is aimed at preventing depressive and anxiety symptoms and disorders in middle primary school children aged 9–10 years.,[]
84,10+1016_j+brat+2013+09+005,1,3,The Aussie Optimism,"Students from 22 low SES primary schools (N = 910) were randomly assigned to an intervention or a control group and assessed at baseline, post-test, 6 months and 18 months.",[]
85,10+1016_j+brat+2013+09+005,1,4,The Aussie Optimism,The intervention group received the program implemented by teachers and the control group received their regular Health Education curriculum.,"['D04b', 'D04a']"
86,10+1016_j+brat+2013+09+005,1,5,The Aussie Optimism,"Students completed questionnaires on depression, anxiety, and attribution style.","['D06a', 'D06b']"
87,10+1016_j+brat+2013+09+005,1,6,The Aussie Optimism,At risk students were further assessed with the computerised Diagnostic Interview for Children and Adolescents.,"['D06a', 'D06b']"
88,10+1016_j+brat+2013+09+005,1,7,The Aussie Optimism,Parents reported on their children's externalising and internalising problems at home.,"['D06a', 'D06b']"
89,10+1016_j+brat+2013+09+005,1,8,The Aussie Optimism,"Children in the intervention condition reported a significant pre-post reduction in depressive symptoms, and there was a significant pre-post reduction in parent-reported emotional difficulties which was maintained at 6 month follow-up; no changes were evident in the control group.",[]
90,10+1016_j+brat+2013+09+005,1,9,The Aussie Optimism,"Both groups showed significant improvements in child-reported anxiety and attribution style, and significant improvements in parent-reported pro-social behaviours.",[]
91,10+1016_j+brat+2013+09+005,1,10,The Aussie Optimism,"For both groups, there were no significant post-baseline changes in incidence and recovery rates for depression, anxiety, or internalising symptoms.",[]
92,10+1016_j+brat+2013+09+005,1,11,The Aussie Optimism,These findings suggest that AOP-PTS has the potential to treat depressive symptomatology in the immediate term but the effects were not sustained.,[]
93,10+1016_j+brat+2013+09+005,1,12,The Aussie Optimism,There is also evidence of improved emotional resilience up to 6 months following the program.,[]
94,10+1016_j+brat+2013+09+005,1,13,The Aussie Optimism,Further follow-up to investigate longer term effects is needed.,[]
95,26360730,0,0,Title,Classroom-based cognitive behaviour therapy (FRIENDS): a cluster randomised controlled trial to Prevent Anxiety in Children through Education in Schools (PACES).,[]
96,26360730,1,1,Background,"Anxiety in children is common, impairs everyday functioning, and increases the risk of severe mental health disorders in adulthood.",[]
97,26360730,1,2,Background,We investigated the effect of a classroom-based cognitive behaviour therapy prevention programme (FRIENDS) on anxiety symptoms in children.,[]
98,26360730,2,3,Methods,Preventing Anxiety in Children though Education in Schools (PACES) is a three-group parallel cluster randomised controlled trial.,['D02']
99,26360730,2,4,Methods,"Interventions were given between September, 2011, and July, 2012, with schools as the unit of allocation and individual participants as the unit of analysis.",[]
100,26360730,2,5,Methods,We enrolled state-funded junior schools in southwest England.,['D03b']
101,26360730,2,6,Methods,We sent information to all eligible schools (state-funded junior schools in southwest England) inviting them to enrol in the study.,[]
102,26360730,2,7,Methods,"School year groups were assigned by computer-generated randomisation (1:1:1) to receive either school-led FRIENDS (led by teacher or school staff member), health-led FRIENDS (led by two trained health facilitators), or usual school provision.","['D07', 'D04b', 'D04a']"
103,26360730,2,8,Methods,Children were not masked to treatment allocation.,"['D08a', 'D08b', 'D08c']"
104,26360730,2,9,Methods,"The allocated programme was given to all students (aged 9-10 years) in the school year (ie, universal delivery) as part of the school curriculum as nine, 60 min weekly sessions.","['D04b', 'D04a']"
105,26360730,2,10,Methods,Outcomes were collected by self-completed questionnaire administered by researchers masked to allocation.,"['D08a', 'D08b', 'D08c']"
106,26360730,2,11,Methods,Primary outcome was symptoms of anxiety and low mood at 12 months assessed by the Revised Child Anxiety and Depression Scale (RCADS 30).,"['D06a', 'D06b']"
107,26360730,2,12,Methods,Analyses were intention to treat and accounted for the clustered nature of the design.,[]
108,26360730,2,13,Methods,"The study is registered, number ISRCTN23563048.",[]
109,26360730,3,14,Findings,"45 schools were enrolled: 14 (n=497 children) were randomly assigned to school-led FRIENDS, 14 (n=509) to health-led FRIENDS, and 12 (n=442) to usual school provision.",[]
110,26360730,3,15,Findings,"1257 (92%) children completed 12 month assessments (449 in health-led FRIENDS, 436 in school-led FRIENDS, and 372 in usual school provision).",[]
111,26360730,3,16,Findings,"We recorded a difference at 12 months in adjusted mean child-reported RCADS scores for health-led versus school-led FRIENDS (1949 [SD 1481] vs 2286 [1524]; adjusted difference -391, 95% CI -648 to -135; p=00004) and health-led FRIENDS versus usual school provision (1949 [1481] vs 2248 [1574]; -266, -522 to -009; p=0043).",[]
112,26360730,3,17,Findings,We noted no differences in parent or teacher ratings.,[]
113,26360730,3,18,Findings,Training teachers to deliver mental health programmes was not as effective as delivery by health professionals.,[]
114,26360730,4,19,Interpretation,Universally delivered anxiety prevention programmes can be effective when used in schools.,[]
115,26360730,4,20,Interpretation,"However, programme effectiveness varies depending on who delivers them.",[]
116,26360730,5,21,Funding,National Institute for Health Research Public Health Research Programme.,[]
117,29946269,0,0,Title,Do Parent Mental Illness and Family Living Arrangement Moderate the Effects of the Aussie Optimism Program on Depression and Anxiety in Children?,[]
118,25844493,0,0,Title,Two-year outcomes of the Early Risers prevention trial with formerly homeless families residing in supportive housing.,[]
119,24837666,0,0,Title,Evaluation of a school-based depression prevention program among adolescents from low-income areas: a randomized controlled effectiveness trial.,[]
120,19167144,0,0,Title,Peer-group support intervention improves the psychosocial well-being of AIDS orphans: cluster randomized trial.,[]
121,31877163,0,0,Title,Improving emotional health and self-esteem of Malaysian adolescents living in orphanages through Life Skills Education program: A multi-centre randomized control trial.,[]
122,31004264,0,0,Title,A Cluster Randomized-Controlled Trial of the MindOut Social and Emotional Learning Program for Disadvantaged Post-Primary School Students.,[]
123,18698064,0,0,Title,School-based mental health intervention for children affected by political violence in Indonesia: a cluster randomized trial.,[]
124,18698064,1,1,Context,Little is known about the efficacy of mental health interventions for children exposed to armed conflicts in low- and middle-income settings.,[]
125,18698064,1,2,Context,Childhood mental health problems are difficult to address in situations of ongoing poverty and political instability.,[]
126,18698064,2,3,Objective,"To assess the efficacy of a school-based intervention designed for conflict-exposed children, implemented in a low-income setting.",[]
127,18698064,3,4,"Design, setting, and participants","A cluster randomized trial involving 495 children (81.4% inclusion rate) who were a mean (SD) age of 9.9 (1.3) years, were attending randomly selected schools in political violence-affected communities in Poso, Indonesia, and were screened for exposure (> or = 1 events), posttraumatic stress disorder, and anxiety symptoms compared with a wait-listed control group.","['D03b', 'D02']"
128,18698064,3,5,"Design, setting, and participants","Nonblinded assessment took place before, 1 week after, and 6 months after treatment between March and December 2006.",[]
129,18698064,4,6,Intervention,"Fifteen sessions, over 5 weeks, of a manualized, school-based group intervention, including trauma-processing activities, cooperative play, and creative-expressive elements, implemented by locally trained paraprofessionals.","['D04b', 'D04a']"
130,18698064,5,7,Main outcome measures,"We assessed psychiatric symptoms using the Child Posttraumatic Stress Scale, Depression Self-Rating Scale, the Self-Report for Anxiety Related Disorders 5-item version, and the Children's Hope Scale, and assessed function impairment as treatment outcomes using standardized symptom checklists and locally developed rating scales.","['D06a', 'D06b']"
131,18698064,6,8,Results,"Correcting for clustering of participants within schools, we found significantly more improvement in posttraumatic stress disorder symptoms (mean change difference, 2.78; 95% confidence interval [CI], 1.02 to 4.53) and maintained hope (mean change difference, -2.21; 95% CI, -3.52 to -0.91) in the treatment group than in the wait-listed group.",[]
132,18698064,6,9,Results,"Changes in traumatic idioms (stress-related physical symptoms) (mean change difference, 0.50; 95% CI, -0.12 to 1.11), depressive symptoms (mean change difference, 0.70; 95% CI, -0.08 to 1.49), anxiety (mean change difference, 0.12; 95% CI, -0.31 to 0.56), and functioning (mean change difference, 0.52; 95% CI, -0.43 to 1.46) were not different between the treatment and wait-listed groups.",[]
133,18698064,7,10,Conclusions,"In this study of children in violence-affected communities, a school-based intervention reduced posttraumatic stress symptoms and helped maintain hope, but did not reduce traumatic-stress related symptoms, depressive symptoms, anxiety symptoms, or functional impairment.",[]
134,18698064,8,11,Trial registration,isrctn.org Identifier: ISRCTN25172408.,[]
135,31249543,0,0,Title,Positive Education Interventions Prevent Depression in Chinese Adolescents.,[]
136,10+1007_s12646-019-00477-3,0,0,Title,Do All Positive Psychology Exercises Work for Everyone? Replication of Seligman et al.’s (2005) Interventions among Adolescents,[]
137,33334564,0,0,Title,"Combined prevention for substance use, depression, and anxiety in adolescence: a cluster-randomised controlled trial of a digital online intervention.",[]
138,33334564,1,1,Background,"Substance use, depression, and anxiety in adolescence are major public health problems requiring new scalable prevention strategies.",[]
139,33334564,1,2,Background,"We aimed to assess the effectiveness of a combined online universal (ie, delivered to all pupils) school-based preventive intervention targeting substance use, depression, and anxiety in adolescence.",[]
140,33334564,2,3,Methods,"We did a multicentre, cluster-randomised controlled trial in secondary schools in Australia, with pupils in year 8 or 9 (aged 13-14 years).","['D03b', 'D02']"
141,33334564,2,4,Methods,"Participating schools were randomly assigned (1:1:1:1) to one of four intervention conditions: (1) Climate Schools-Substance Use, focusing on substance use only; (2) Climate Schools-Mental Health, focusing on depression and anxiety only; (3) Climate Schools-Combined, focusing on the prevention of substance use, depression, and anxiety; or (4) active control.","['D04b', 'D04a']"
142,33334564,2,5,Methods,"The interventions were delivered in school classrooms in an online delivery format and used a mixture of peer cartoon storyboards and classroom activities that were focused on alcohol, cannabis, anxiety, and depression.","['D04b', 'D04a']"
143,33334564,2,6,Methods,"The interventions were delivered for 2 years and primary outcomes were knowledge related to alcohol, cannabis, and mental health; alcohol use, including heavy episodic drinking; and depression and anxiety symptoms at 12, 24, and 30 months after baseline.","['D06a', 'D06b']"
144,33334564,2,7,Methods,This trial is registered with the Australian New Zealand Clinical Trials Registry (ACTRN12613000723785) and an extended follow-up is underway.,[]
145,33334564,3,8,Findings,"Between Sept 1, 2013, and Feb 28, 2014, we recruited 88 schools (12391 pupils), of whom 71 schools and 6386 (515%) pupils were analysed (17 schools dropped out and 1308 pupils declined to participate).",[]
146,33334564,3,9,Findings,"We allocated 18 schools (1739 [2725%] pupils; 1690 [972%] completed at least one follow-up) to the substance use condition, 18 schools (1594 [250%] pupils; 1560 [979%] completed at least one follow-up) to the mental health condition, 16 schools (1497 [234%] pupils; 1443 [964%] completed at least one follow-up) to the combined condition, and 19 schools (1556 [234%] pupils; 1513 [972%] completed at least one follow-up) to the control condition.",[]
147,33334564,3,10,Findings,"Compared with controls, the combined intervention group had increased knowledge related to alcohol and cannabis at 12, 24, and 30 months (standardised mean difference [SMD] for alcohol 026 [95% CI 014 to 039] and for cannabis 017 [006 to 028] at 30 months), increased knowledge related to mental health at 24 months (017 [008 to 027]), reduced growth in their odds of drinking and heavy episodic drinking at 12, 24, and 30 months (odds ratio for drinking 025 [95% CI 012 to 051], and for heavy episodic drinking 015 [004 to 058] at 30 months), and reduced increases in anxiety symptoms at 12 and 30 months (SMD -012 [95% CI -022 to -001] at 30 months).",[]
148,33334564,3,11,Findings,We found no difference in symptoms or probable diagnosis of depression.,[]
149,33334564,3,12,Findings,The combined intervention group also showed improvement in alcohol use outcomes compared with the substance use and mental health interventions and improvements in anxiety outcomes when compared with the mental health intervention only.,[]
150,33334564,4,13,Interpretation,"Combined online prevention of substance use, depression, and anxiety led to increased knowledge of alcohol, cannabis, and mental health, reduced increase in the odds of any drinking and heavy episodic drinking, and reduced symptoms of anxiety over a 30-month period.",[]
151,33334564,4,14,Interpretation,"These findings provide the first evidence of the effectiveness of an online universal school-based preventive intervention targeting substance use, depression, and anxiety in adolescence.",[]
152,33334564,5,15,Funding,Australian National Health and Medical Research Council.,[]
153,26220564,0,0,Title,A Web-Based Adolescent Positive Psychology Program in Schools: Randomized Controlled Trial.,[]
154,26220564,1,1,Background,Adolescent mental health is characterized by relatively high rates of psychiatric disorders and low levels of help-seeking behaviors.,[]
155,26220564,1,2,Background,Existing mental health programs aimed at addressing these issues in adolescents have repeated inconsistent results.,[]
156,26220564,1,3,Background,"Such programs have generally been based on techniques derived from cognitive behavioral therapy, which may not be ideally suited to early intervention among adolescent samples.",[]
157,26220564,1,4,Background,"Positive psychology, which seeks to improve well-being rather than alleviate psychological symptoms, offers an alternative approach.",[]
158,26220564,1,5,Background,A previous community study of adolescents found that informal engagement in an online positive psychology program for up to 6 weeks yielded significant improvements in both well-being and depression symptoms.,[]
159,26220564,1,6,Background,"However, this approach had not been trialed among adolescents in a structured format and within a school setting.",[]
160,26220564,2,7,Objective,This study examines the feasibility of an online school-based positive psychology program delivered in a structured format over a 6-week period utilizing a workbook to guide students through website content and interactive exercises.,[]
161,26220564,3,8,Methods,"Students from four high schools were randomly allocated by classroom to either the positive psychology condition, ""Bite Back"", or the control condition.","['D04b', 'D04a']"
162,26220564,3,9,Methods,"The Bite Back condition consisted of positive psychology exercises and information, while the control condition used a series of non-psychology entertainment websites.","['D04b', 'D04a']"
163,26220564,3,10,Methods,Both interventions were delivered online for 6 hours over a period of 4-6 weeks during class time.,"['D04b', 'D04a']"
164,26220564,3,11,Methods,Symptom measures and measures of well-being/flourishing and life satisfaction were administered at baseline and post intervention.,"['D06a', 'D06b']"
165,26220564,4,12,Results,Data were analyzed using multilevel linear modeling.,['D09']
166,26220564,4,13,Results,"Both conditions demonstrated reductions in depression, stress, and total symptom scores without any significant differences between the two conditions.",[]
167,26220564,4,14,Results,Both the Bite Back and control conditions also demonstrated significant improvements in life satisfaction scores post intervention.,[]
168,26220564,4,15,Results,"However, only the control condition demonstrated significant increases in flourishing scores post intervention.",[]
169,26220564,5,16,Conclusions,Results suggest that a structured online positive psychology program administered within the school curriculum was not effective when compared to the control condition.,[]
170,26220564,5,17,Conclusions,The limitations of online program delivery in school settings including logistic considerations are also relevant to the contradictory findings of this study.,[]
171,26220564,6,18,Trial registration,Australian New Zealand Clinical Trials Registry: ACTRN1261200057831; https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?id=362489 (Archived by Webcite at http://www.webcitation.org/6NXmjwfAy).,[]
172,25404142,0,0,Title,Secondary outcomes of a school-based universal resiliency training for adolescents: a cluster randomized controlled trial.,[]
173,25404142,1,1,Background,"The study investigated the long-term effectiveness of the adolescent cognitive behavioral resiliency training Op Volle Kracht (OVK) on the secondary outcomes: anxiety symptoms, hopelessness, happiness, life satisfaction, optimism, coping, self-efficacy, and school functioning.","['D06a', 'D06b']"
174,25404142,1,2,Background,"In addition, the study analyzed whether the secondary outcomes moderated the intervention effect on depressive symptoms.",[]
175,25404142,2,3,Methods,A two-condition (intervention and control) cluster randomized controlled trial was conducted.,['D02']
176,25404142,2,4,Methods,"All adolescents in the 8th grade were eligible to participate, unless they, or their parents, declined their participation.",[]
177,25404142,2,5,Methods,Schools were the unit of randomization.,[]
178,25404142,2,6,Methods,Missing data were imputed and intent to treat analyses were conducted.,['D09']
179,25404142,2,7,Methods,The results were analyzed using Latent Growth Curve Modeling across the 24-months follow-up period.,['D09']
180,25404142,3,8,Results,"The total sample consisted of 1341 adolescents (Mage = 13.91, SD =0.55, 47.3% girls, 83.1% Dutch ethnicity).",[]
181,25404142,3,9,Results,"The intervention and control condition consisted of 634 adolescents from 4 schools and 707 adolescents from 5 schools, respectively.",[]
182,25404142,3,10,Results,"OVK did not have an effect on depression, anxiety, hopelessness, happiness, and life satisfaction, but promoted cognitive coping over the course of the follow-up period.",[]
183,25404142,3,11,Results,"OVK showed small iatrogenic effects on optimism, active coping, social self-efficacy and school grades directly post intervention, but these effects disappeared during the follow-up period.",[]
184,25404142,3,12,Results,"Finally, none of the outcome variables moderated the intervention effect on depressive symptoms.",[]
185,25404142,4,13,Conclusions,The universal resiliency training OVK was not effective in this Dutch sample.,[]
186,25404142,4,14,Conclusions,Implications for research and practice were discussed.,[]
187,25404142,5,15,Trial registration number,NTR2879.,[]
188,28730396,0,0,Title,Prevention of Anxiety and Depression in Swedish School Children: a Cluster-Randomized Effectiveness Study.,[]
