fid,D01,D02,D03a,D03b,D04a,D04b,D05,D06a,D06b,D07,D08a,D08b,D08c,D09,D10,D11,D12,D13a,D13b,D14a,D14b,D15
18698064,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0
19167144,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
19411074,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19488997,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
19491183,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0
19786274,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19968378,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20112246,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
20350038,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20488346,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20873898,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20877438,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21296338,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
21707137,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
22030296,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
22030296,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22160441,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22648703,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
22654944,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0
22699797,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
22889296,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
23043090,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0
23106262,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23417664,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23421838,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
23890774,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
23893066,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
23978323,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
23999656,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0
24172024,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1
24331773,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
24421776,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
24491074,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
24690470,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0
24837666,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
24904446,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24991908,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
25404142,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
25537814,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
25546595,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
25795013,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25844493,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
26009786,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
26220564,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
26298674,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
26299292,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0
26302251,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
26360730,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
26396702,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
26404640,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1
26414418,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26459316,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
26486632,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
26509236,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
26638219,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
26684478,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
26790360,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
26830893,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27054828,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1
27425565,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
27618799,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
27646462,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
27697671,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
27758729,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27768384,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
27830922,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0
27969089,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
28326047,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28462880,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0
28573672,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
28702717,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
28715495,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28730396,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28910673,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1
29030792,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
29097357,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
29164445,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
29599729,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29893947,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
29946269,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
29979882,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
29987559,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
29992353,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
29996542,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30138012,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30376644,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
30533601,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0
30550301,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30565735,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
30661560,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
30693077,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
30755464,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
30768411,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
30805853,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30852711,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
30903540,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
30939411,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30993499,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
31004264,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31228560,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1
31249543,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31278996,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0
31357259,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
31733917,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
31774833,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
31860104,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0
31877163,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31920787,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
31981802,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32336987,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
32391709,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
32680417,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
32683737,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0
32703288,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
32847217,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33334564,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1
